,Station,Latitude,Longitude
0,Station Amsterdam Muiderpoort,52.3608341,4.9311934
1,Station Amsterdam Amstel,52.3464656,4.9175567
2,Station Amsterdam Science Park,52.352926,4.948315
3,Station Amsterdam Sloterdijk,52.3890317,4.8381062
4,Station Amsterdam Lelylaan,52.3578369,4.8340268
5,Station RAI Amsterdam,52.3377124,4.8893261
6,Station Amsterdam Zuid/WTC,52.3390172,4.8734324
7,Station Duivendrecht,52.3229636,4.9359667
8,Station Amsterdam Bijlmer,52.3122449,4.9470883
9,Station Amsterdam Holendrecht,52.2979886,4.9601712
10,Station Weesp,52.3122067,5.0440484
11,Station Amsterdam Centraal,52.378901,4.9005805
